clutch_code,egg_number,label,area,length,max width,volume,ellipse deviation,surface area,left R^2,right R^2,mean_volume,,,,,,,,
1216,1,Egg_Measurement.txt,1.33E+04,7.87E-01,4.84E-01,9.52E-02,3.58E-04,1.05E+00,9.79E-01,9.81E-01,,,,,,,,,
1216,2,Egg_Measurement.txt,1.13E+04,7.27E-01,4.41E-01,7.33E-02,2.69E-04,8.84E-01,9.94E-01,9.29E-01,,,,,,,,,
1216,3,Egg_Measurement.txt,1.23E+04,6.97E-01,4.78E-01,8.36E-02,3.78E-05,9.47E-01,9.59E-01,9.56E-01,,,,,,,,,
1216,4,Egg_Measurement.txt,1.32E+04,7.50E-01,4.77E-01,8.91E-02,5.85E-05,9.98E-01,9.85E-01,9.40E-01,,,,,,,,,
1216,5,Egg_Measurement.txt,1.62E+04,7.81E-01,5.64E-01,1.30E-01,1.83E-05,1.27E+00,9.97E-01,9.75E-01,,,,,,,,,
1216,6,Egg_Measurement.txt,1.28E+04,7.66E-01,4.52E-01,8.27E-02,9.68E-05,9.61E-01,9.88E-01,9.91E-01,,,,,,,,,
1216,7,Egg_Measurement.txt,1.18E+04,7.47E-01,4.47E-01,7.71E-02,3.30E-04,9.16E-01,9.84E-01,9.80E-01,,,,,,,,,
1216,8,Egg_Measurement.txt,1.25E+04,7.86E-01,4.45E-01,8.13E-02,3.07E-04,9.58E-01,9.47E-01,9.88E-01,,,,,,,,,
1216,9,Egg_Measurement.txt,1.30E+04,7.76E-01,4.77E-01,9.08E-02,3.83E-04,1.02E+00,9.56E-01,9.73E-01,,,,,,,,,
1216,10,Egg_Measurement.txt,1.28E+04,7.51E-01,4.75E-01,8.78E-02,2.85E-04,9.90E-01,9.79E-01,9.82E-01,8.91E-02,,,,,,,,
1554,1,Egg_Measurement.txt,5.17E+04,8.14E-01,4.14E-01,7.10E-02,5.02E-04,8.94E-01,9.88E-01,9.46E-01,,,,,,,,,
1554,2,Egg_Measurement.txt,5.08E+04,7.23E-01,4.53E-01,7.78E-02,2.87E-04,9.15E-01,9.83E-01,9.53E-01,,,,,,,,,
1554,3,Egg_Measurement.txt,5.41E+04,7.69E-01,4.49E-01,8.15E-02,9.55E-07,9.52E-01,9.25E-01,8.41E-01,,,,,,,,,
1554,4,Egg_Measurement.txt,5.30E+04,7.70E-01,4.46E-01,7.94E-02,2.24E-04,9.38E-01,9.55E-01,8.70E-01,,,,,,,,,
1554,5,Egg_Measurement.txt,4.90E+04,7.48E-01,4.19E-01,6.94E-02,9.01E-05,8.62E-01,9.64E-01,9.87E-01,,,,,,,,,
1554,6,Egg_Measurement.txt,5.05E+04,7.06E-01,4.52E-01,7.65E-02,5.80E-05,9.01E-01,9.83E-01,9.91E-01,,,,,,,,,
1554,7,Egg_Measurement.txt,5.13E+04,7.37E-01,4.48E-01,7.77E-02,5.52E-05,9.17E-01,9.93E-01,9.80E-01,,,,,,,,,
1554,8,Egg_Measurement.txt,5.35E+04,7.67E-01,4.52E-01,8.05E-02,3.61E-04,9.46E-01,9.83E-01,9.83E-01,,,,,,,,,
1554,9,Egg_Measurement.txt,5.19E+04,7.94E-01,4.13E-01,7.09E-02,2.99E-04,8.88E-01,9.95E-01,9.45E-01,,,,,,,,,
1554,10,Egg_Measurement.txt,5.17E+04,7.46E-01,4.70E-01,8.43E-02,5.38E-04,9.66E-01,9.78E-01,9.65E-01,7.69E-02,,,,,,,,
2046,1,Egg_Measurement.txt,4.06E+04,7.42E-01,5.07E-01,9.73E-02,2.66E-04,1.05E+00,9.82E-01,9.95E-01,,,,,,,,,
2046,2,Egg_Measurement.txt,4.11E+04,7.60E-01,4.94E-01,9.71E-02,2.15E-04,1.05E+00,9.95E-01,9.68E-01,,,,,,,,,
2046,3,Egg_Measurement.txt,4.13E+04,7.94E-01,4.93E-01,1.02E-01,5.17E-05,1.09E+00,9.96E-01,9.79E-01,,,,,,,,,
2046,4,Egg_Measurement.txt,4.26E+04,7.60E-01,5.27E-01,1.10E-01,1.13E-04,1.13E+00,9.77E-01,9.96E-01,,,,,,,,,
2046,5,Egg_Measurement.txt,4.72E+04,8.14E-01,5.53E-01,1.26E-01,4.21E-05,1.25E+00,9.90E-01,9.97E-01,,,,,,,,,
2046,6,Egg_Measurement.txt,4.26E+04,7.24E-01,5.40E-01,1.10E-01,9.72E-05,1.13E+00,9.85E-01,9.94E-01,,,,,,,,,
2046,7,Egg_Measurement.txt,4.61E+04,7.32E-01,5.79E-01,1.24E-01,1.58E-04,1.21E+00,9.91E-01,9.86E-01,,,,,,,,,
2046,8,Egg_Measurement.txt,4.37E+04,7.74E-01,5.33E-01,1.13E-01,3.67E-04,1.16E+00,9.66E-01,9.93E-01,,,,,,,,,
2046,9,Egg_Measurement.txt,4.08E+04,7.31E-01,5.23E-01,1.06E-01,4.36E-06,1.10E+00,9.98E-01,9.92E-01,,,,,,,,,
2046,10,Egg_Measurement.txt,4.12E+04,7.78E-01,4.96E-01,1.01E-01,6.58E-05,1.08E+00,9.93E-01,9.85E-01,1.09E-01,,,,,,,,
2598,1,Egg_Measurement.txt,1.30E+04,7.44E-01,4.76E-01,8.88E-02,9.33E-06,9.95E-01,9.88E-01,9.82E-01,,,,,,,,,
2598,2,Egg_Measurement.txt,1.21E+04,7.47E-01,4.56E-01,8.10E-02,9.97E-05,9.42E-01,9.77E-01,9.39E-01,,,,,,,,,
2598,3,Egg_Measurement.txt,1.23E+04,6.95E-01,4.78E-01,8.52E-02,3.73E-05,9.59E-01,9.98E-01,9.95E-01,,,,,,,,,
2598,4,Egg_Measurement.txt,1.14E+04,7.22E-01,4.40E-01,7.27E-02,2.06E-04,8.77E-01,9.79E-01,9.76E-01,,,,,,,,,
2598,5,Egg_Measurement.txt,1.24E+04,7.22E-01,4.73E-01,8.52E-02,4.36E-05,9.65E-01,9.92E-01,9.82E-01,,,,,,,,,
2598,6,Egg_Measurement.txt,1.15E+04,7.17E-01,4.39E-01,7.18E-02,5.35E-04,8.72E-01,9.92E-01,9.88E-01,,,,,,,,,
2598,7,Egg_Measurement.txt,1.32E+04,7.20E-01,5.02E-01,9.56E-02,6.43E-05,1.03E+00,9.82E-01,9.93E-01,,,,,,,,,
2598,8,Egg_Measurement.txt,1.30E+04,7.41E-01,4.81E-01,8.89E-02,2.71E-04,9.95E-01,9.87E-01,9.73E-01,,,,,,,,,
2598,9,Egg_Measurement.txt,1.25E+04,7.09E-01,4.74E-01,8.31E-02,8.12E-05,9.46E-01,9.84E-01,9.85E-01,,,,,,,,,
2598,10,Egg_Measurement.txt,1.18E+04,6.69E-01,4.63E-01,7.62E-02,7.94E-06,8.89E-01,9.83E-01,9.96E-01,8.28E-02,,,,,,,,
2613,1,Egg_Measurement.txt,4.33E+04,7.18E-01,5.46E-01,1.11E-01,6.63E-06,1.13E+00,9.97E-01,9.87E-01,,don’t use for repeatability,,,,,,,
2613,2,Egg_Measurement.txt,4.34E+04,7.32E-01,5.79E-01,1.16E-01,7.30E-04,1.16E+00,9.93E-01,9.91E-01,,don’t use for repeatability,,,,,,,
2613,3,Egg_Measurement.txt,4.77E+04,8.13E-01,5.27E-01,1.15E-01,3.79E-04,1.18E+00,9.74E-01,9.74E-01,,don’t use for repeatability,,,,,,,
2613,4,Egg_Measurement.txt,4.59E+04,7.64E-01,5.35E-01,1.14E-01,7.35E-05,1.16E+00,9.66E-01,9.87E-01,,don’t use for repeatability,,,,,,,
2613,5,Egg_Measurement.txt,4.49E+04,8.07E-01,5.06E-01,1.07E-01,3.45E-04,1.13E+00,9.60E-01,9.87E-01,,don’t use for repeatability,,,,,,,
2613,6,Egg_Measurement.txt,4.19E+04,7.91E-01,4.92E-01,9.78E-02,4.93E-04,1.07E+00,9.56E-01,9.76E-01,,don’t use for repeatability,,,,,,,
2613,7,Egg_Measurement.txt,4.03E+04,7.61E-01,4.76E-01,8.83E-02,4.81E-04,9.97E-01,9.99E-01,9.93E-01,,don’t use for repeatability,,,,,,,
2613,8,Egg_Measurement.txt,4.22E+04,7.76E-01,5.04E-01,1.02E-01,2.74E-04,1.09E+00,9.91E-01,9.84E-01,,don’t use for repeatability,,,,,,,
2613,9,Egg_Measurement.txt,4.28E+04,7.66E-01,5.21E-01,1.07E-01,1.04E-04,1.11E+00,9.98E-01,9.82E-01,,don’t use for repeatability,,,,,,,
2613,10,Egg_Measurement.txt,4.36E+04,7.96E-01,5.00E-01,1.03E-01,1.71E-04,1.10E+00,9.83E-01,9.89E-01,1.06E-01,,,,,,,,
2841,1,Egg_Measurement.txt,3.56E+04,8.13E-01,5.05E-01,1.07E-01,5.19E-04,1.13E+00,9.91E-01,9.88E-01,,,,,,,,,
2841,2,Egg_Measurement.txt,3.44E+04,7.64E-01,5.08E-01,1.03E-01,2.53E-05,1.09E+00,9.74E-01,9.91E-01,,,,,,,,,
2841,3,Egg_Measurement.txt,3.43E+04,8.15E-01,4.83E-01,9.87E-02,1.78E-04,1.08E+00,9.87E-01,9.63E-01,,,,,,,,,
2841,4,Egg_Measurement.txt,3.53E+04,8.13E-01,4.88E-01,1.02E-01,1.03E-04,1.10E+00,9.52E-01,9.86E-01,,,,,,,,,
2841,5,Egg_Measurement.txt,3.31E+04,7.97E-01,4.74E-01,9.45E-02,3.46E-04,1.05E+00,9.43E-01,9.94E-01,,,,,,,,,
2841,6,Egg_Measurement.txt,3.54E+04,7.71E-01,5.10E-01,1.08E-01,1.22E-04,1.13E+00,9.88E-01,9.84E-01,,,,,,,,,
2841,7,Egg_Measurement.txt,2.99E+04,7.83E-01,4.35E-01,7.88E-02,1.85E-04,9.40E-01,8.95E-01,9.96E-01,,,,,,,,,
2841,8,Egg_Measurement.txt,3.16E+04,7.92E-01,4.66E-01,8.92E-02,1.95E-04,1.01E+00,9.89E-01,9.61E-01,,,,,,,,,
2841,9,Egg_Measurement.txt,3.47E+04,7.81E-01,5.00E-01,1.01E-01,1.40E-04,1.09E+00,9.96E-01,9.75E-01,,,,,,,,,
2841,10,Egg_Measurement.txt,2.97E+04,7.61E-01,4.39E-01,7.84E-02,6.70E-05,9.31E-01,9.89E-01,9.30E-01,9.60E-02,,,,,,,,
3462,1,Egg_Measurement.txt,1.64E+04,7.81E-01,3.94E-01,6.29E-02,2.15E-04,8.24E-01,9.44E-01,8.90E-01,,,,,,,,,
3462,2,Egg_Measurement.txt,2.27E+04,8.27E-01,5.33E-01,1.18E-01,6.67E-05,1.20E+00,9.93E-01,9.99E-01,,,,,,,,,
3462,3,Egg_Measurement.txt,2.24E+04,8.26E-01,5.05E-01,1.08E-01,4.15E-04,1.14E+00,9.80E-01,9.85E-01,,,,,,,,,
3462,4,Egg_Measurement.txt,1.87E+04,7.93E-01,4.41E-01,8.14E-02,2.10E-04,9.61E-01,9.98E-01,9.80E-01,,,,,,,,,
3462,5,Egg_Measurement.txt,2.15E+04,7.71E-01,4.97E-01,9.94E-02,1.71E-04,1.07E+00,9.90E-01,9.93E-01,,,,,,,,,
3462,6,Egg_Measurement.txt,2.15E+04,7.82E-01,4.91E-01,9.84E-02,2.25E-04,1.07E+00,9.49E-01,9.88E-01,,,,,,,,,
3462,7,Egg_Measurement.txt,2.14E+04,7.92E-01,5.18E-01,1.10E-01,3.87E-04,1.14E+00,9.51E-01,9.50E-01,,,,,,,,,
3462,8,Egg_Measurement.txt,2.37E+04,7.93E-01,5.57E-01,1.21E-01,1.73E-04,1.21E+00,9.96E-01,9.96E-01,,,,,,,,,
3462,9,Egg_Measurement.txt,2.46E+04,8.09E-01,5.64E-01,1.27E-01,2.97E-04,1.25E+00,9.87E-01,9.89E-01,,,,,,,,,
3462,10,Egg_Measurement.txt,2.19E+04,7.86E-01,4.97E-01,9.77E-02,6.87E-04,1.07E+00,9.89E-01,9.70E-01,1.02E-01,,,,,,,,
3510,1,Egg_Measurement.txt,3.00E+04,8.70E-01,4.51E-01,9.33E-02,1.57E-04,1.07E+00,9.34E-01,9.71E-01,,,,,,,,,
3510,2,Egg_Measurement.txt,3.29E+04,7.99E-01,5.45E-01,1.24E-01,2.18E-04,1.23E+00,9.87E-01,9.86E-01,,,,,,,,,
3510,3,Egg_Measurement.txt,2.97E+04,7.96E-01,4.84E-01,9.79E-02,2.45E-04,1.07E+00,9.91E-01,9.87E-01,,,,,,,,,
3510,4,Egg_Measurement.txt,3.13E+04,8.24E-01,5.04E-01,1.10E-01,1.67E-04,1.15E+00,9.94E-01,9.90E-01,,,,,,,,,
3510,5,Egg_Measurement.txt,3.09E+04,7.88E-01,4.93E-01,9.98E-02,1.51E-04,1.08E+00,9.66E-01,9.75E-01,,,,,,,,,
3510,6,Egg_Measurement.txt,3.32E+04,7.81E-01,5.52E-01,1.23E-01,4.12E-04,1.22E+00,9.69E-01,9.91E-01,,,,,,,,,
3510,7,Egg_Measurement.txt,2.85E+04,7.62E-01,4.77E-01,9.07E-02,5.56E-05,1.01E+00,9.17E-01,9.82E-01,,,,,,,,,
3510,8,Egg_Measurement.txt,3.19E+04,8.01E-01,5.14E-01,1.08E-01,5.25E-04,1.14E+00,9.71E-01,9.83E-01,,,,,,,,,
3510,9,Egg_Measurement.txt,3.09E+04,7.92E-01,5.15E-01,1.09E-01,2.96E-04,1.14E+00,9.95E-01,9.83E-01,,,,,,,,,
3510,10,Egg_Measurement.txt,3.09E+04,7.90E-01,4.91E-01,9.86E-02,2.58E-04,1.07E+00,9.38E-01,9.37E-01,1.05E-01,,,,,,,,
3566,1,Egg_Measurement.txt,4.08E+04,8.66E-01,5.47E-01,1.32E-01,6.99E-04,1.30E+00,9.58E-01,9.87E-01,,,,,,,,,
3566,2,Egg_Measurement.txt,3.92E+04,8.38E-01,5.39E-01,1.24E-01,6.31E-04,1.25E+00,9.90E-01,9.49E-01,,,,,,,,,
3566,3,Egg_Measurement.txt,4.06E+04,8.54E-01,5.40E-01,1.28E-01,4.98E-04,1.27E+00,9.77E-01,9.38E-01,,,,,,,,,
3566,4,Egg_Measurement.txt,3.70E+04,8.50E-01,4.99E-01,1.07E-01,7.32E-04,1.15E+00,9.90E-01,9.56E-01,,,,,,,,,
3566,5,Egg_Measurement.txt,4.13E+04,8.57E-01,5.40E-01,1.28E-01,5.35E-04,1.28E+00,9.85E-01,9.86E-01,,,,,,,,,
3566,6,Egg_Measurement.txt,3.84E+04,8.51E-01,5.16E-01,1.15E-01,6.24E-04,1.20E+00,9.65E-01,9.73E-01,,,,,,,,,
3566,7,Egg_Measurement.txt,3.43E+04,7.87E-01,4.87E-01,9.81E-02,2.38E-04,1.07E+00,9.77E-01,9.94E-01,,,,,,,,,
3566,8,Egg_Measurement.txt,3.68E+04,8.46E-01,5.03E-01,1.11E-01,3.85E-04,1.17E+00,9.89E-01,9.40E-01,,,,,,,,,
3566,9,Egg_Measurement.txt,3.89E+04,8.62E-01,5.16E-01,1.18E-01,6.23E-04,1.22E+00,9.84E-01,9.84E-01,,,,,,,,,
3566,10,Egg_Measurement.txt,4.02E+04,8.43E-01,5.36E-01,1.24E-01,6.08E-04,1.25E+00,9.79E-01,9.95E-01,1.18E-01,,,,,,,,
3756,1,Egg_Measurement.txt,4.02E+04,7.29E-01,5.07E-01,9.65E-02,4.40E-04,1.04E+00,9.84E-01,9.63E-01,,,,,,,,,
3756,2,Egg_Measurement.txt,3.81E+04,7.23E-01,4.78E-01,8.56E-02,3.00E-04,9.67E-01,9.94E-01,9.60E-01,,,,,,,,,
3756,3,Egg_Measurement.txt,4.72E+04,7.40E-01,6.05E-01,1.35E-01,8.68E-04,1.29E+00,1.00E+00,9.94E-01,,,,,,,,,
3756,4,Egg_Measurement.txt,3.67E+04,7.00E-01,4.83E-01,8.51E-02,9.67E-05,9.58E-01,9.77E-01,9.73E-01,,,,,,,,,
3756,5,Egg_Measurement.txt,4.59E+04,7.42E-01,5.54E-01,1.18E-01,2.58E-04,1.18E+00,9.77E-01,9.78E-01,,,,,,,,,
3756,6,Egg_Measurement.txt,3.80E+04,7.38E-01,4.80E-01,8.35E-02,1.66E-04,9.51E-01,9.95E-01,1.00E+00,,,,,,,,,
3756,7,Egg_Measurement.txt,3.86E+04,7.01E-01,4.83E-01,8.49E-02,5.19E-04,9.59E-01,9.84E-01,9.68E-01,,,,,,,,,
3756,8,Egg_Measurement.txt,3.92E+04,6.80E-01,5.42E-01,9.70E-02,9.93E-04,1.03E+00,9.89E-01,9.78E-01,9.82E-02,,,,,,,,
3887,1,Egg_Measurement.txt,3.67E+04,7.07E-01,4.89E-01,8.59E-02,4.54E-04,9.64E-01,9.95E-01,9.94E-01,,,,,,,,,
3887,2,Egg_Measurement.txt,3.86E+04,7.23E-01,4.98E-01,9.41E-02,6.21E-05,1.02E+00,9.70E-01,9.97E-01,,,,,,,,,
3887,3,Egg_Measurement.txt,3.30E+04,6.87E-01,4.50E-01,7.19E-02,3.78E-04,8.63E-01,9.58E-01,9.71E-01,,,,,,,,,
3887,4,Egg_Measurement.txt,3.48E+04,7.08E-01,4.52E-01,7.45E-02,3.76E-04,8.87E-01,9.79E-01,9.96E-01,,,,,,,,,
3887,5,Egg_Measurement.txt,3.60E+04,7.17E-01,4.63E-01,8.00E-02,6.16E-05,9.27E-01,9.84E-01,9.97E-01,,,,,,,,,
3887,6,Egg_Measurement.txt,3.66E+04,7.27E-01,4.53E-01,7.81E-02,3.11E-05,9.16E-01,9.98E-01,9.96E-01,,,,,,,,,
3887,7,Egg_Measurement.txt,4.11E+04,7.46E-01,5.11E-01,9.92E-02,3.08E-04,1.06E+00,9.65E-01,9.99E-01,,,,,,,,,
3887,8,Egg_Measurement.txt,3.70E+04,7.00E-01,4.99E-01,8.98E-02,5.30E-04,9.91E-01,9.86E-01,9.78E-01,,,,,,,,,
3887,9,Egg_Measurement.txt,3.74E+04,7.06E-01,4.98E-01,9.10E-02,2.30E-04,9.99E-01,9.85E-01,9.71E-01,,,,,,,,,
3887,10,Egg_Measurement.txt,3.70E+04,6.96E-01,4.81E-01,8.38E-02,2.44E-04,9.48E-01,9.87E-01,9.91E-01,8.48E-02,,,,,,,,
4003,1,Egg_Measurement.txt,4.94E+04,7.43E-01,5.10E-01,1.02E-01,1.46E-04,1.08E+00,9.89E-01,9.92E-01,,,,,,,,,
4003,2,Egg_Measurement.txt,5.52E+04,7.98E-01,5.35E-01,1.20E-01,1.14E-04,1.21E+00,9.91E-01,9.92E-01,,,,,,,,,
4003,3,Egg_Measurement.txt,3.57E+04,6.47E-01,4.34E-01,6.06E-02,3.57E-04,7.66E-01,9.86E-01,9.81E-01,,,,,,,,,
4003,4,Egg_Measurement.txt,4.37E+04,7.21E-01,4.70E-01,8.28E-02,2.27E-04,9.48E-01,9.65E-01,9.67E-01,,,,,,,,,
4003,5,Egg_Measurement.txt,4.37E+04,7.44E-01,4.53E-01,8.01E-02,2.96E-04,9.37E-01,9.76E-01,9.70E-01,,,,,,,,,
4003,6,Egg_Measurement.txt,5.59E+04,7.77E-01,5.57E-01,1.28E-01,7.52E-05,1.25E+00,9.97E-01,9.92E-01,,,,,,,,,
4003,7,Egg_Measurement.txt,5.36E+04,7.96E-01,5.23E-01,1.12E-01,5.09E-04,1.16E+00,9.80E-01,9.79E-01,,,,,,,,,
4003,8,Egg_Measurement.txt,4.25E+04,7.20E-01,4.54E-01,7.66E-02,2.93E-04,9.05E-01,9.83E-01,9.75E-01,,,,,,,,,
4003,9,Egg_Measurement.txt,4.97E+04,7.69E-01,5.03E-01,9.92E-02,3.25E-04,1.07E+00,9.91E-01,9.98E-01,,,,,,,,,
4003,10,Egg_Measurement.txt,4.35E+04,7.28E-01,4.58E-01,7.96E-02,1.53E-04,9.28E-01,9.75E-01,9.11E-01,9.41E-02,,,,,,,,
4206,1,Egg_Measurement.txt,5.52E+04,8.20E-01,5.27E-01,1.19E-01,2.39E-05,1.21E+00,9.87E-01,9.57E-01,,,,,,,,,
4206,2,Egg_Measurement.txt,4.96E+04,8.22E-01,4.66E-01,9.23E-02,2.75E-04,1.04E+00,9.71E-01,9.13E-01,,,,,,,,,
4206,3,Egg_Measurement.txt,4.66E+04,7.78E-01,4.56E-01,8.66E-02,1.50E-04,9.93E-01,9.15E-01,9.97E-01,,,,,,,,,
4206,4,Egg_Measurement.txt,3.82E+04,6.59E-01,4.42E-01,6.74E-02,5.09E-05,8.23E-01,9.35E-01,9.49E-01,,,,,,,,,
4206,5,Egg_Measurement.txt,4.93E+04,7.94E-01,4.74E-01,9.36E-02,7.82E-05,1.04E+00,9.73E-01,9.96E-01,,,,,,,,,
4206,6,Egg_Measurement.txt,4.87E+04,8.00E-01,4.63E-01,8.92E-02,3.48E-04,1.02E+00,9.69E-01,9.98E-01,,,,,,,,,
4206,7,Egg_Measurement.txt,5.86E+04,8.06E-01,5.28E-01,1.18E-01,2.38E-06,1.20E+00,9.93E-01,9.91E-01,,,,,,,,,
4206,8,Egg_Measurement.txt,5.35E+04,8.33E-01,4.86E-01,1.02E-01,2.43E-04,1.11E+00,9.74E-01,9.47E-01,,,,,,,,,
4206,9,Egg_Measurement.txt,5.83E+04,8.18E-01,5.51E-01,1.27E-01,3.00E-04,1.26E+00,9.70E-01,9.89E-01,,,,,,,,,
4206,10,Egg_Measurement.txt,4.81E+04,7.85E-01,4.76E-01,9.11E-02,4.63E-04,1.02E+00,9.72E-01,9.15E-01,9.87E-02,,,,,,,,
4370,1,Egg_Measurement.txt,4.11E+04,7.74E-01,5.08E-01,1.03E-01,4.89E-04,1.10E+00,9.83E-01,9.77E-01,,,,,,,,,
4370,2,Egg_Measurement.txt,3.74E+04,7.34E-01,4.47E-01,7.61E-02,2.29E-04,9.05E-01,9.82E-01,9.73E-01,,,,,,,,,
4370,3,Egg_Measurement.txt,4.11E+04,7.46E-01,4.94E-01,9.36E-02,3.59E-04,1.03E+00,9.89E-01,9.74E-01,,,,,,,,,
4370,4,Egg_Measurement.txt,4.11E+04,7.44E-01,4.90E-01,9.42E-02,2.43E-05,1.03E+00,9.82E-01,9.91E-01,,,,,,,,,
4370,5,Egg_Measurement.txt,3.85E+04,7.52E-01,4.60E-01,8.26E-02,2.31E-04,9.55E-01,9.58E-01,9.88E-01,,,,,,,,,
4370,6,Egg_Measurement.txt,4.05E+04,7.45E-01,4.92E-01,9.59E-02,2.72E-04,1.04E+00,9.93E-01,9.92E-01,,,,,,,,,
4370,7,Egg_Measurement.txt,4.13E+04,7.67E-01,5.13E-01,1.04E-01,5.31E-04,1.10E+00,9.84E-01,9.72E-01,,,,,,,,,
